id,script
10," It's great that I take the oath of office in my election commercial. I can't understand why some in my party call me an ice princess, I'm super nice. I certainly learned nothing from Angela Merkel. My biggest mistake? I'd even have to think about that. What was my biggest mistake? Well, maybe they'll get to it. Maybe I'll get to it later. Next half-sentence, that I'm a feminist. Oh, that I'm a feminist, I wouldn't call myself that. What if Robert Habeck were to invite me to the kitchen table? That would be quite amusing. If Donald Trump were to receive me in the White House soon? That would be interesting too. That would be pretty pero that I'm here all in the kitchen nonsense Clayton medo. So that would be favorable congratulations. That would be nothing happened. I am myself to me that is book colored. As Milan up in the kitchen from slammed me must join,"
11," We need a Fortress Europe that must be protected. We need naval operations to force these ships with the smugglers and criminals to return. And as a consequence of Hamas' terrorist attack on Israel, there is a threat of a further influx of refugees from Gaza and the Middle East. As the AfD parliamentary group, we are demanding a clear statement from the Chancellery that Germany will no longer accept migrants from Gaza and the Middle East."
12," I can tell you, and with this I would also like to ring in the new year 2025, that we as Alternative for Germany have set out to return to freedom in this country, that everyone is free to express their opinion."
13," So, now it's quiet. So, if I wasn't a public figure, I would totally love to go dancing again spontaneously, go out, listen to loud music, do stupid things, even do stupid things. If I wasn't a public figure, I would absolutely love to spontaneously go to a club again, jump around, behave stupidly without having to think that videos are being made, like now, I have to sit down. Then I would definitely, if I wasn't a public figure and didn't have the job I have, I would definitely not spend weekends at party conferences like this. That's how it starts. Then I would also love to go dancing spontaneously again, go out, listen to loud music, do stupid things, even stupid things, without being afraid or having any concerns. I'm not afraid of having concerns about it being in the next tabloid anyway. So, I'm an extremely freedom-loving person and I can only tell you all that if you have the opportunity, enjoy your life and your freedom and get the most out of it. My favorite food, well, there is no one favorite food, so I like to cook Indian and Thai food, I love to eat Thai food. For example, there's the papaya salad, which I like to eat, then there's the beef salad, the labgai, that's what it's called. And yes, I also love to eat a plate of spaghetti with a well-made tomato sauce when I make it. And yes. I think I've been doing that for years. No, I'm joking. Because I do some free speeches, but a presentation. I think I could say quite a lot about history. But that would bore everyone. Then I think I could talk a lot about health and nutrition, because I think that's cool and exciting. Yes, and about music, I think that would also be really cool. By the way, I used to produce music on the computer during my studies. I also had my music program, I did a lot of drum bass stuff. I could tell you a bit more about that, but I think I'm a bit out of time now, because I'm old and I used to do all that stuff when I was young. No, I didn't have a DJ name. I think I'm more of a winter person. Although I also like it warm. But winter is so cozy. The best thing about my job is that I can meet and get to know incredibly interesting and committed people from all backgrounds. I wouldn't have been able to do that before. Whether I'm a fan of someone myself is an interesting question. Am I a fan of someone? I once said that I was a big fan of Margaret Thatcher. I thought she was a great woman. She was funny. She had a great sense of humor and got a lot of things right. I'm not the type to say I'm going to send the aircraft carriers out to say that the Falklands are British. Not like that. But she was incredibly assertive and acted according to her convictions against all odds. And yes, I'm not generally a fan of, well, I don't think I am here. But maybe I would ask him for a selfie. I once asked Ai Weiwei for a selfie. He also distanced himself from me afterwards. He's this Chinese artist. I think he'd be great. Right, and I'll leave it at that now before I talk to you about it. See you next time."
14," Dear fellow citizens, the murderous mass attack by an Afghan asylum seeker on kindergarten children in Aschaffenburg has shaken and awakened our country and its people. A two-year-old brutally murdered, a girl of the same age seriously injured. A hero who stood in front of the attacked children and gave his life for them. Another man who bravely stood up to the murderer and suffered extremely serious injuries. It is a horrific crime, but it is not an isolated case. Every day in Germany, people are attacked with knives, beaten up or killed, sexually harassed, humiliated or raped, threatened, robbed and humiliated. It affects young and old, women and children, people with or without a migration background, in East and West, day and night, on city streets or in the provinces. And time and time again, the perpetrators are said to be rejected asylum seekers from the notorious main countries of origin, obliged to leave the country and known to the police because of their long criminal records. In other words, people who should never have come to this country or should have been sent home long ago. The Islamist attacks in Mannheim and Solingen, the car massacre by an Arab at the Magdeburg Christmas market, the bloodbath in Aschaffenburg and all the countless attacks and acts of violence that don't make it into the mainstream news. Enough is enough. And it's been far too long, far too long, far too much. After ten years of politically motivated loss of control in migration policy, set in motion by CDU Chancellor Angela Merkel and taken to extremes by the green-red traffic light, people in this country have reached the end of their patience. Whether they are native citizens or law-abiding foreign nationals, they no longer want to have to ask themselves, who will be hit next? My family, my children or myself? They don't want to hear any more phrases, embellishments and excuses. No more one-off alibi deportation flights just before elections and no more ritual demonstrations against the right by cynical, left-wing, green lobbyists. They want the state and the authorities to do their duty to the taxpayers who owe them money and to fulfill their most important task of protecting citizens and ensuring compliance with the law. In a word, they want the migration turnaround. The time for this has now come. The leader of the CDU/CSU parliamentary group, Friedrich Merz, apparently also understood this in a moment of insight when he presented his five-point program, copied from the AfD parliamentary group's long-standing demands, and declared in response to my offer of cooperation that he did not care how the majorities for the necessary resolutions would come about. This shows the only realistic path to a change in migration policy. The undemocratic firewall that disregards the will of the voters must finally come down and the majorities that correspond to the unanimous desire of citizens for a safe homeland must be used. If the CDU/CSU submits sensible and serious draft legislation, the AfD parliamentary group will not withhold its consent. That is how we have always seen it. The welfare of the country and its citizens must take precedence over ideological dogmatism and selfish party tactics. I do not hope that the CDU/CSU resolution circulating on the Internet is Friedrich Merz's last word on the terrible murders in Aschaffenburg. The fact that the CDU/CSU misused the justification for its motion to attack the AfD after the horrific, murderous knife attack by an Afghan on small children is disturbing and shows that it has still not recognized the signs of the times. We don't want to have to mourn any more dead children. The AfD has therefore reached out. Now the CDU and CSU must also deliver with the necessary seriousness. A non-binding motion for a resolution, such as the one now on the table, is not yet a turnaround on migration. This requires concrete and binding laws. The CDU/CSU is free at any time to agree to our targeted initiatives or to put its own targeted initiatives and laws to the vote immediately. Friedrich Merz will have to decide whether he has the courage to tear down the firewall and contribute to a genuine change in migration policy. Or will he continue to hide behind the ruins of this anti-democratic dogma that the green-left should retain power even without a majority? If Friedrich Merz continues to curry favour with those forces who, in self-righteous contempt for the victims, rallied in front of the Brandenburg Gate this weekend, which also marked the second anniversary of the murder of two young people in Brockstedt, in favour of continuing with mass migration and the task of control, who celebrate with smiling demo selfies while families in Aschaffenburg mourn the victims of brutal migrant violence, then there will be more firewall deaths whose blood will also be on the hands of a Union leadership that refuses to accept the necessary change. The AfD will remain true to its course and keep its promise. We will continue to fight for majorities for a policy that makes Germany safe again. Because there will only be a real turnaround in migration with the AfD. The whole thing again barely respects the D abnormal an energy in the妈zna hydrate of Leibhü diagram after the Checkmat one on."
15," Welcome to the AfD's calendar. Today, Robert's lights are going out. Can you explain to the audience what the better tree lighting law should be, Robert? Yes, with pleasure. With the better tree lighting law, we want to reduce CO2 emissions to zero during the winter festival. That's why the lights on the tree of lights may only be lit between 5.55 am and 6 am. That's only 5 minutes a day. How is there supposed to be a Christmas party? What's the point of asking? We have spent the last two years making people so poor that they can no longer afford to buy presents. And what are these poor people supposed to do after two years of traffic lights? They should vote for the AfD. You can't get enough of the AfD's clique calendar. Subscribe to the channel now and never miss another episode."
16," Do you seriously believe, Mr. Merz, that you could fool the citizens into thinking that anything would be better with them if you continue to curry favour with the Greens and the SPD and commit to forming a coalition with these parties? This is precisely what their dogma of the undemocratic firewall, which is not provided for in the Basic Law, amounts to. The so-called firewall is nothing more than an anti-democratic cartel agreement to undermine the will of the voters and exclude millions of voters."
17," Who will take responsibility for depriving our children of an education and instead filling them with ideology, gender and drag queens and turning them into idiots? Therefore, on February 23, AfD."
18," Our living space is not actually scarce. It's just that millions of people looking for housing have been added to it since 2015. Housing is becoming more and more expensive because the government is adding more and more migrants to the real estate market. This is massively exacerbating the housing shortage. We will ensure that rents fall by freeing up the housing market and enabling many more homes to be built. We will achieve this by drastically reducing the numerous globally unique building standards that have made building in Germany unaffordable to date. At the same time, we are reducing demand. Less uncontrolled migration into the country means less pressure on the housing market. Supply and demand. On February 23, both votes for the Alternative for Germany for affordable rents and real housing. Otherwise Zvereigns Otherwise Zvereigns Otherwise Zareigns Otherwise Zvereigns Otherwise Zvereigns Otherwise Zemeh Otherwise Zareigns"
19," We have a majority for black-blue and that is the will of the voters and that has not just been the case since today. That is the case in the eastern German states, it was the case in Hesse and it is the case in Bavaria. The voters want to have bourgeois majorities in this country. They no longer want these chaotic conditions. Mr. Kistler, he simply wants his children to have a good education, to be able to walk safely on the streets, to be able to use public transport safely and so on. He wants the next generation to be able to start families, to be able to buy a house, to have security and not these chaotic conditions. I mean, our country was completely unhinged by the Green Chancellor Angela Merkel and the CDU. And that is also the reason why we now have these bourgeois majorities. We want to change it, Friedrich Merz obviously doesn't, because otherwise he would say, yes, I'd like to have a chat with Alice Weidel or Tino Chrupalla, let's sound them out. Nothing. And I have to tell you one thing, and that also speaks volumes for the character of Friedrich Merz, the man doesn't even say hello to me when he sees me. And then I think to myself, my God, what kind of schooling, what kind of upbringing have they had? You don't actually do that. But you don't do that. You don't actually do that. I think my upbringing is now the subject of a true name and this brother. Now we also have to go forwardывайтесь and if we can, if we can, because it's notrik外 until we are soampadern, there is in the Am partial. And then, we need the revelation so that we give ourselves a gift. And then, if we don't tipoeln, if we are not over, then we go down and then the GüН terus anbü 나는! And then here infusedente, when we say unsys para, when we say to life. And that is, if we also do not wait for you者 pr Cat bet 真的, then jesteśmy only so good, if municipality seinporrage sib, then is the sounds and the food?"
20," Dear friends, another election year lies ahead of us in which a decisive course will be set for our future and the future of our country. In seven weeks, the German Bundestag will be newly elected. It is not simply a question of giving a run-down and failed government the receipt it deserves. There is more at stake. On 23 February, it will be decided whether this country still has a chance to free itself from the downward spiral of inflation, deindustrialization, mass migration, tax plundering, job destruction and the threat of war into which the irresponsible policies of all the established parties have plunged us. The citizens of this country are pinning their hopes on us. The other parties, which have caused this most serious crisis in the history of the Federal Republic of Germany, are not really prepared to correct their wrong decisions. They want to continue to run up debts and raise taxes, burn billions and billions on climate ideology and an eco-socialist planned economy, let hundreds of thousands of migrants into the country uncontrolled year after year and not send anyone back, bully and patronize citizens and shut them up, supply weapons to war zones and ignite the threat of a third world war. It will be a tough election campaign and it will also get ugly. Our opponents know that we will not just make empty promises, but will also get serious if we get into government. They will use unfair means to defend their firewall, their blockade, which they use to secure their dwindling power against a better alternative. They will not play by the rules, invent new defamation campaigns, use the politically instrumentalized domestic secret service even more unscrupulously against us and use all kinds of dirty methods against us. But despite all this, they will not succeed in pushing us back. We will succeed because we have the better arguments. And we will prevail if we stand together, fight for our cause and don't allow anyone or anything to box us in. We stand for a policy of realism and reason, of freedom and the rule of law, of security for all citizens. We stand for the preservation of the foundations of our prosperity and the defense of our national identity. As your candidate for Chancellor, I promise you that I will do everything in my power to ensure that, strengthened by the festive season spent with our families and friends, we will tackle the challenges that lie ahead of us together with courage and confidence. Together, we will manage to turn this country upside down again. I wish you, all of us and our country a happy and prosperous new year 2025. I wish you, all of us and our country a happy and prosperous 2020."
21," I swear that I will devote my strength to the welfare of the German people, increase its benefits, avert harm from it, uphold and defend the Basic Law and the laws of the Federation, conscientiously fulfill my duties and do justice to everyone. So help me God. So help me God."
22," What kind of pathetic understanding of democracy is this? As if the dead children didn't exist, party political games are being put above the lives of innocent citizens. You really can't do anything with this Union. You copied the five-point plan you are presenting today from us. As you know, a non-binding motion for a resolution is by no means a turnaround on migration. You have a method of writing people off instead of deporting them. Because wherever you are in government, whether in Bavaria, North Rhine-Westphalia, Saxony-Anhalt, Baden-Württemberg or Schleswig-Holstein, the deportation record is just as miserable or even worse than in the SPD-governed federal states."
23," Every day, the CDU and CSU are killing people senselessly in Ukraine, thousands of stabbers and social system destroyers are crossing Germany's borders. And I can tell you that the next knife murder will be on the Union's ticket. What we want is clear. We want to bear parliamentary responsibility. We want to table and vote on sensible motions here. And we want this Bundestag to be able to work. We have formulated this over and over again here in the rounds. And the CDU/CSU is falling into our arms here and preventing us from doing so, preventing the people of this country from finally seeing solutions. That is pure hypocrisy, irresponsible and dubious."
24," Welcome to the big AfD clique calendar. Today Friedrich has a heavy load to carry. Friedrich, what's wrong with you? Why are you so out of breath? Hello Santa Claus. I'm appearing as Santa Claus at the CDU Christmas party today and my bag is pretty full, yes. Oh, but a few presents can't be that heavy. What's in there? It's actually just stones. But why are you giving away stones, Friedrich? Well, for the cracks in the firewall. Every CDU member gets a brick to repair the firewall. And what should the citizens do who no longer want to look at Friedrich's undemocratic firewall? They should vote for the AfD. You can't get enough of the AfD's clique calendar. Subscribe to the channel now and never miss another episode."
25," I would expect Chancellor Scholz not to make a government statement tomorrow, but to announce his resignation. The way must be cleared for new elections. This government has run its course and is governing against the majority of the population. Two thirds of the people no longer want the traffic light government."
26," It would be a country in which the freedom of citizens is not just lip service, but is at the heart of the legal system and values. Madam President, these interjections. Well, you can say that to your own group, the permanent groups. Your job, Madam President, is to lead a neutral presidency. And this drooling is really getting on your nerves. It is really tiresome. And these people have no place here in the Bundestag. They have never worked a day in their lives. They have never worked here in their lives. That's what you're doing here. We want a country in which fundamental rights, the rights of the individual to defend themselves, go right back to that. Go to work. You will have the opportunity to do so from the week after next, if you are further decimated. Go to work. Look for a job. Thank you very much. Thank you very much. Thank you very much. Thank you very much."
27," For me, Angela Merkel is the first green chancellor our country has had. I want the opposite. I want freedom. I want a free, rich Germany, a prosperous Germany, a sovereign country that has good relations with its neighbors and good relations with the East. That is our most important task. And that includes putting our own country, as the largest country in Europe, back on its feet and in order."
28," He is the stupid one and no longer works for himself and his family, but for cashiers from all over the world. 62 percent of families receiving the citizen's allowance do not have a German passport. Their citizen's income is a fraudulent label. It is migrant money, an immigration magnet."
29," Green-Red has failed. The people have had enough of the ideological transformation of left-green sectarians who have kept them in government here. But you too, Mr. Merz, have already failed, because what you are doing is deceiving voters. You will not be able to implement any of your promises with the Green-Red coalition. That is part of the truth."
30," After the shock news for our economy, the shock news from Friedrich Merz last night. You know, who does it is a secondary question. The decisive factor is what we write down in a possible coalition agreement. And we need a change of policy in Germany, especially when it comes to economic policy. With Habeck or without Habeck. That's for Habeck to decide, if he's still there. He can imagine Robert Habeck, our Minister of Deindustrialization, as Minister of Economics in his coalition next year. And so we know quite clearly that anyone who votes for Friedrich Merz and his CDU is voting for a ""business as usual"" with a black-green coalition."
31," Reactivation of nuclear power. Re-introduction of coal power. Abolish the CO2 tax. Abolish the solidarity surcharge. Lay off workers and companies. Reduce taxes and levies. Lower energy taxes. All this should be done. Let's move on to the migration crisis. The borders must be closed. They need to be controlled. Where is that? We would be ready. But all that is being proclaimed here is a standstill and the meeting is suspended. How are we supposed to continue here, according to the CDU? Should we suspend the session here, parliamentary business, for three months until the new election? That is not our approach. That is not the Alternative for Germany's approach. We have the majority for these sensible proposals, which, incidentally, the CDU is copying from the AfD and obviously never wants to implement. And that's why every vote for the Alternative for Germany counts. We must make the AfD strong for a bourgeois majority in the German parliament. We have to move away from stagnation. We must move towards a bourgeois, sensible policy. And we are ready for that. язы abnormal substances And that, all of a sudden spier... Here we have focused on the Unde here. It's about keeping it ethical. We also need to position theyy launch here. And for that you make quarters for Germany countdown goes. Where we have with it also in this minute 같은mal with Florengator beats you can take over here to Banco pro on. It's about and bes cieläcke."
32," People have the feeling that they have scissors in their heads and that they can no longer say what they really think. And Germany should start articulating its own interests. That is our task. I don't know what Ms. Baerbock was doing anywhere in Indonesia, but we have no business there. We have our security interests here. The CDU is currently campaigning with AfD positions. How are voters, to put it bluntly, being lied to by the CDU? No, I am absolutely against inheritance tax. If the state can't handle our money, the taxpayers' money, which incidentally already has record tax revenues, if it can't handle it, then please don't invent any more tax rates, as it is already doing anyway, via the CO2 levy, then there's more to come, then it should tighten its belt even more. And what does this state offer its own population? It offers its own population eroding internal security, unprotected borders, a dilapidated infrastructure etc. pp. and the world's highest energy prices."
33," Germany will soon be history as an attractive business location if we do not restore the future viability of our country. And we as the AfD have a very clear idea about this. We have a very clear idea of what we will do in our first 100 days in government. We will set the course for freedom and ease the burden on citizens and companies. That is our credo. We want freedom. We want to reduce income tax. We want family splitting. Above all, we want to ease the burden on families and future generations."
34," Citizens have to contend with rising prices, electricity shortages and environmental destruction. Whole forests are being cut down again for inefficient, ugly wind turbines. The AfD puts an end to this madness. No more subsidies for inefficient climate projects, no more EEG levy, no more ideological taxes. We will make energy affordable again and secure Germany's supply. An end to dependency and uncertainty. Therefore, on February 23, vote Alternative for Germany with both your votes."
35," German missiles in Ukraine, which can reach Moscow and include the deployment of German soldiers to operate them, make Germany a direct party to the war and the target of an impending nuclear war. Ms. Baerbock fantasizes about deploying German troops in Ukraine, while Mr. Merz wants to risk a third world war by supplying Taurus cruise missiles."
36," Make outdoor pools safe at last! On 9.6. AfD-Bähen, Blaustadt-Bund."
37," The situation is catastrophic, and our election manifesto and our basic program give top priority to women's work-life balance and family life. What we say quite clearly is that we would not have the problem you have just described at all. First of all, childcare fees must be paid by the state. So, the state obviously has enough money, then it has to take on more if we have too few daycare places. That's where it starts. If we have too few specialist staff, as you have just described, they have to step in, then these specialists and teachers must be paid significantly better."
38, They are preventing political change. They are in favor of business as usual. And that is part of the truth. You first dismantled the left-wing party. Now you're scratching at the 5 percent hurdle. Perhaps you're already regretting the fact that you're both out. I think it was a strategic mistake because you don't stand for political change. And that is now coming out. And that's why you're plummeting.
39," Friends, I repeat, we want something to finally change in our country and that we can finally live in safety again, that we never again have to mourn with a mother who has lost her son in such a senseless and brutal way. Amen."
40, I can promise one thing that we as the AfD will not allow such people to remain in office. That's how it looks. It's a disgrace. That's why AfD on February 23.
41," Broadcasting fees would be abolished. Tax money would be collected sparingly in this country. A good government respects what its citizens have worked hard to earn and does not claim more of it than is absolutely necessary to fulfill its few core tasks. A good government respects the property of its citizens and does not encroach on it with taxes on wealth, inheritance and excessive taxes on income, companies and consumption. A well-governed state does not patronize its citizens. It does not distribute their money all over the world or to ideological lobby groups and favorites in order to buy their allegiance."
42," The courageous police officer Ruben L. lost his life while trying to protect citizens who wanted to exercise their fundamental right to freedom of expression. Our sincere condolences go out to the relatives of Ruben L. at this difficult time. We wish them much strength and Mr. Stürzenberger and the other victims of the brutal knife attack in Mannheim a speedy recovery. The AfD parliamentary group has requested a minute's silence from the Federal President for the police officer who was killed. This murder attack takes imported violence to a new level. It is frankly a disgrace that the political leaders in this country have nothing more than dry compulsory exercises and hackneyed phrases to offer. Federal President Steinmeier reaches a new peak of tastelessness when he takes the Mannheim knife murder as an opportunity to warn against, and I quote, the brutalization of political debate and the growing propensity for violence in our country. I have to say that an Islamist terrorist attack is not a political dispute. And it is also sheer mockery for the citizens who have to suffer from the loss of security in public spaces caused by mass migration. The same applies to Green Party leader Ricarda Lang's equation of the riots on Sylt with the attack in Mannheim. Both are equally a threat to freedom, claims the Green Party leader. This is an outrageous derailment and a mockery of the victims. Words, however, can neither bring back to life the young family man and police officer who was stabbed to death, nor can they assuage the grief of his relatives, nor can they give citizens back their freedom and security in public spaces. The murderous mass attack in Mannheim is a beacon. How many more people will die or be seriously injured? Action must finally be taken. What we need is a turnaround on migration in Germany."
43, Minor Reverse Mo coming who pl90gаков
44," Today in the AfD-Klüngelkalender, Robert is a Trump fan. Hello Robert, what are you listening to? It's a new song, I think it's really good. But don't you know where it's from, Robert? No, I'm so busy destroying and saving the German economy that I don't have time to research it. That's Donald Trump's campaign song. Couldn't you have told me straight away, now I need a new radio and I'm not going to listen to such far-right droning. And what should people do who are no longer swayed by such arrogant chatter? They should vote for the AfD. You can't get enough of the AfD's ""Klüngelkalender""? Then subscribe to the channel now and open a new door every morning."
45," Why should the Russians run the risk of a German missile reaching the Russian capital Moscow? They will act preemptively. And the first missile might not land in Kiev, but in Berlin. And these war-mad decision-makers here, who have no idea what kind of danger they are putting this country in, have to be measured against that. And that's why Taurus, discussing this at all is not only incredibly stupid, it's negligent and exposes Germany and all our neighbors to a considerable, increased, risky danger of war."
46," Dear friends, welcome back to my Vitals Contra format. We're getting right into the election campaign and that's why we're doing it again. Shorter, just one minute, maybe a minute and a half long, especially for you and that's why we're starting with Nancy Faeser. Nancy Faeser has announced that there is an abstractly high threat level and therefore reason for great vigilance at our Christmas markets. Can we also remember what it was like back then? We could drink mulled wine without a care in the world, children could eat candy floss and ride the merry-go-round. Those days are over, thanks to mass immigration over the last ten years. And here the Office for the Protection of the Constitution says that our Christmas markets are an ideologically suitable target for people motivated by Islamism. Ms. Faeser says that consistent action is required. I can simply say that the only consistent action would be to consistently deport these people and to consistently control our borders and not let these people in in the first place. And that's why the AfD will be tabling another motion next week on the consistent control of our borders. Klimi forbid And watch."
47," Hungary is the bulwark against illegal migration. And we, the Alternative for Germany, also don't want any more illegal migration in our country. Our country is suffering, the people in our country are suffering from illegal migration, from imported crime."
48, I already have two children.
49," A state that gives up control over its territory and access to it is no longer a state. Closing Germany's borders to illegal immigrants is neither impossible nor contrary to European law. Because without clearly defined borders, there can be neither a free and open society, nor protection of rights and property, nor a welfare state based on solidarity, nor democracy. Therefore, on February 23, AfD."
50," That we are being upgraded for national defense, we are no longer capable of national defense. And we first have to work out what we need to invest in order to upgrade the Bundeswehr. And I have yet to hear Mrs. Maischberger give a serious figure from the Federal Government. And that's why it's not possible to say anything serious at this point."
51," Every day in Germany you see reports of knife attacks, rape, crimes of brutality, murders and beatings. This must stop immediately. And if the AfD is in government, it will stop immediately. People will be deported on day 1. We wouldn't have this whole migration debate if the AfD had been in charge for the last 10 years. The CDU opened the borders and let people in. And internal security is eroding in our major cities. Internal security is eroding everywhere. But the CDU/CSU and Friedrich Merz have proven in recent years that they are not exactly the smartest. And they are proving it above all in this election campaign."
52," This motion with the five demands is, as far as the demand is concerned, copied from the AfD. The truth is that the CDU has rejected precisely this demand from us for seven years. So, that is a fact. We will also vote in favor of the influx limitation law on Friday and the motion tomorrow, because that is what distinguishes us as the AfD from the CDU/CSU. But that also means that they are xenophobic. We care about this country, that something is finally done. And we don't care about these party tactics from the CDU. The main thing is that something is done. People are demanding political solutions. We have a complete loss of control over our borders and internal security."
53," Call him Mr. Raider, call him Mr. Wrong, call him Mr. Babe Call him Mr. Raider, call him Mr. Wrong, call him Mr."
54," Their irresponsible and infantile maneuvers will not stop us from doing the right thing and agreeing to every sensible initiative. That's how we've always done it. Applause Because for us, the good of the country and its citizens always takes precedence over selfish party tactics. And that sets us apart from the CDU/CSU. Applause"
55," Asylum means temporary protection. Not forever. But for the past ten years, it has been common practice in Germany to allow people to stay, even if the reason for fleeing has long since ceased to exist. Whether under the traffic light government or the previous CDU government. We are putting an end to this madness, this chaos. We focus on local help, not on incentives to migrate. Those seeking protection should stay in the region and those who are here must return as soon as possible. Clear and fair for all. Therefore, on February 23, both votes for Alternative for Germany."
56," No border, no state. The borders must be closed. They must be closed at all costs. Illegal migrants must be turned away. And anyone staying here without authorization must be deported. And criminal terrorists and criminals have no place in our country. They must be deported. Therefore, on February 23, AfD."
57," It's not a suspected attack, it's a terrorist attack. Someone, an Afghan, deliberately drove into a crowd of people and injured many people. And it's always the same pattern that we hear. Namely that a rejected asylum seeker, this Afghan, came to Germany, his asylum application was rejected, he was granted tolerated status, the man has been in Germany since 2016, has been receiving social benefits since then because he was granted tolerated status, has committed several criminal offenses and has not been deported. So the question that local politicians, especially Markus Söder, must first ask themselves is, what is this man doing here? And I can tell you that with an AfD-led government, the man would not have come to the country at all. And he wouldn't have been here for a long time. And so I don't understand this political failure at all and the same thing over and over again. I think people are fed up. They want solutions, they want secure borders. They want consistent enforcement of law and order, i.e. the deportation of illegals as well as criminals. And that's why the man had no place at all. And with the AfD, he wouldn't have been here either."
